epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.24262,2.6417,4.69036,2.10492,0.00101,0.29167,0.08431,0.01692,2.31844,4.18725,2.18035,5.001e-05,5.001e-05,5.001e-05
2,3.70928,2.59697,4.86682,2.02239,0.00099,0.29167,0.11547,0.02005,2.26392,4.17727,2.15966,0.000115535,0.000115535,0.000115535
3,5.20162,2.55715,4.70955,1.92045,0.00166,0.52083,0.04855,0.01763,2.18995,4.13385,1.9814,0.000179739,0.000179739,0.000179739
4,6.80231,2.43563,4.12266,1.86025,0.00232,0.75,0.07905,0.02889,2.35744,3.93462,1.88224,0.000242624,0.000242624,0.000242624
5,8.33524,2.5577,4.27263,1.88647,0.00232,0.75,0.10343,0.0311,2.26444,3.91962,1.77324,0.000304187,0.000304187,0.000304187
6,9.8074,2.36204,3.8637,1.82939,0.00232,0.75,0.05645,0.01642,2.3973,3.9079,1.8481,0.000364431,0.000364431,0.000364431
7,11.2822,2.36016,3.70903,1.82504,0.00263,0.8125,0.08623,0.01398,2.37011,4.01795,1.78496,0.000423355,0.000423355,0.000423355
8,12.7725,2.25112,3.77524,1.8294,0.00293,0.875,0.0945,0.02348,2.19237,3.91758,1.75968,0.000480958,0.000480958,0.000480958
9,14.2432,2.16987,3.59112,1.73221,0.00224,0.64583,0.09623,0.0312,2.01158,3.87821,1.70396,0.000537241,0.000537241,0.000537241
10,15.707,2.05425,3.21345,1.73129,0.00225,0.64583,0.05625,0.03384,1.86214,3.86344,1.6137,0.000592203,0.000592203,0.000592203
11,17.2104,2.10666,3.2677,1.63,0.00222,0.64583,0.0779,0.02377,2.19354,3.76922,1.70712,0.000645846,0.000645846,0.000645846
12,18.6747,2.03673,3.09784,1.59652,0.00287,0.77083,0.25786,0.10326,2.04337,3.4444,1.62443,0.000698168,0.000698168,0.000698168
13,20.1575,2.01256,3.00327,1.66839,0.00306,0.77083,0.15439,0.05843,2.07143,3.36351,1.57547,0.00074917,0.00074917,0.00074917
14,21.6046,1.89908,2.9168,1.62995,0.00241,0.64583,0.21325,0.05098,2.03355,3.31466,1.56837,0.000798851,0.000798851,0.000798851
15,23.1075,1.97114,3.04736,1.7055,0.00269,0.70833,0.1444,0.0367,2.18456,3.40939,1.64918,0.000847213,0.000847213,0.000847213
16,24.5786,1.85249,2.61111,1.64507,0.00199,0.58333,0.17231,0.04848,2.2979,3.37099,1.752,0.000894254,0.000894254,0.000894254
17,26.0324,2.00256,2.88314,1.78152,0.00299,0.875,0.17776,0.07683,2.19853,3.26427,1.73147,0.000939975,0.000939975,0.000939975
18,27.5451,1.82547,2.84884,1.72423,0.00235,0.64583,0.11501,0.06488,2.06561,3.23705,1.71763,0.000984375,0.000984375,0.000984375
19,28.99,1.96852,2.61367,1.65906,0.00268,0.70833,0.18685,0.07707,2.19035,3.23689,1.73194,0.00102746,0.00102746,0.00102746
20,30.4557,1.88982,2.50469,1.57989,0.0034,0.83333,0.0837,0.03942,2.50121,3.25569,1.86501,0.00106922,0.00106922,0.00106922
21,31.9443,1.87847,2.41946,1.51655,0.00337,0.83333,0.44829,0.18041,2.4416,2.9898,1.95969,0.00110966,0.00110966,0.00110966
22,33.3977,1.9914,2.76095,1.63297,0.43524,0.52083,0.43108,0.155,2.40435,2.91341,1.89284,0.00114877,0.00114877,0.00114877
23,34.8463,1.74263,2.55286,1.54219,0.73369,0.41608,0.45245,0.17184,2.25136,2.69777,1.80257,0.00118657,0.00118657,0.00118657
24,36.3142,1.87331,2.58076,1.55012,0.70448,0.33333,0.54755,0.20694,2.11229,2.66623,1.85342,0.00122305,0.00122305,0.00122305
25,37.7662,1.74686,2.60012,1.54185,0.65833,0.43557,0.48336,0.22935,1.98665,2.48671,1.86925,0.00125821,0.00125821,0.00125821
26,39.2325,1.78565,2.31392,1.53417,0.98841,0.33333,0.43445,0.28075,2.03253,2.44002,1.78326,0.00125442,0.00125442,0.00125442
27,40.7183,1.6169,2.10047,1.44888,0.68075,0.39583,0.52445,0.2662,2.2813,2.2848,1.94608,0.00123791,0.00123791,0.00123791
28,42.1895,1.70038,2.09242,1.49921,0.60241,0.44456,0.43906,0.13048,2.46003,3.16772,2.35828,0.00122141,0.00122141,0.00122141
29,43.6656,1.81014,2.40459,1.61294,0.33867,0.39583,0.33971,0.15331,2.418,3.39832,2.01384,0.00120491,0.00120491,0.00120491
30,45.143,1.81353,2.16463,1.53481,0.63888,0.39583,0.48967,0.28433,2.02107,2.58586,1.75184,0.0011884,0.0011884,0.0011884
31,46.6281,1.693,2.30693,1.48551,0.48732,0.45833,0.54208,0.34544,2.09493,2.27149,1.78293,0.0011719,0.0011719,0.0011719
32,48.1201,1.73511,2.19341,1.49034,0.69648,0.5555,0.61821,0.34161,2.09807,2.16347,1.84878,0.0011554,0.0011554,0.0011554
33,49.5646,1.5764,2.22642,1.47737,0.67207,0.64583,0.64478,0.31416,2.24396,2.23264,1.97154,0.00113889,0.00113889,0.00113889
34,51.0111,1.63594,2.19109,1.45564,0.65708,0.52083,0.6116,0.30142,2.34951,2.35171,2.13567,0.00112239,0.00112239,0.00112239
35,52.4841,1.69589,1.98966,1.43306,0.73841,0.58333,0.61451,0.3149,2.36313,2.28598,2.15446,0.00110589,0.00110589,0.00110589
36,53.9243,1.58613,1.94489,1.40607,0.77672,0.64583,0.67136,0.35341,2.19032,1.93632,1.96347,0.00108938,0.00108938,0.00108938
37,55.4106,1.6891,2.02134,1.46211,0.56962,0.58333,0.64731,0.32007,2.02632,1.90226,1.76104,0.00107288,0.00107288,0.00107288
38,56.8772,1.65998,2.00138,1.50404,0.64504,0.73577,0.77458,0.39516,2.01972,1.77432,1.76821,0.00105638,0.00105638,0.00105638
