epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.24313,2.59747,4.75518,2.10711,0.00174,0.52083,0.1763,0.03476,2.20658,4.18367,2.10228,0.00011669,0.00011669,0.00011669
2,5.24809,2.52246,4.68313,1.907,0.00194,0.58333,0.05019,0.00987,2.04177,4.10388,1.96134,0.000247575,0.000247575,0.000247575
3,7.15793,2.48752,4.46896,1.89361,0.00233,0.75,0.07701,0.01142,2.07789,4.02323,1.86918,0.000375818,0.000375818,0.000375818
4,9.07942,2.48296,4.01134,1.84992,0.00166,0.52083,0.08086,0.01685,2.21671,3.88222,1.80132,0.000501422,0.000501422,0.000501422
5,11.0434,2.48752,3.99362,1.89868,0.00171,0.52083,0.02912,0.00585,2.17244,3.80699,1.76141,0.000624385,0.000624385,0.000624385
6,13.2261,2.15962,3.73245,1.81015,0.00248,0.75,0.02119,0.00526,2.29634,3.86686,1.96565,0.000744707,0.000744707,0.000744707
7,15.393,2.28944,3.53065,1.94918,0.00276,0.75,0.09679,0.04003,2.39961,3.79224,2.16335,0.000862389,0.000862389,0.000862389
8,17.4039,2.15909,3.54467,1.9141,0.00158,0.45833,0.12285,0.06704,2.56603,3.77316,2.54679,0.00097743,0.00097743,0.00097743
9,19.4465,2.11007,3.62696,1.80729,0.64954,0.16667,0.08511,0.01708,3.47117,3.98435,5.00261,0.00108983,0.00108983,0.00108983
10,21.3974,2.16573,3.29524,1.85893,0.92606,0.16667,0.16912,0.03383,3.56086,4.57769,6.21277,0.00119959,0.00119959,0.00119959
11,23.2978,2.38248,3.35131,2.09329,0.96264,0.16667,0.17035,0.05106,3.18618,4.40214,6.1449,0.00130671,0.00130671,0.00130671
12,25.2536,2.19156,3.23355,1.80779,0.9131,0.16667,0.22347,0.07579,2.47946,3.43645,2.65781,0.00141119,0.00141119,0.00141119
13,27.2075,1.95657,3.30636,1.73692,0.62517,0.16667,0.1386,0.04213,2.43445,3.43157,2.73882,0.00146896,0.00146896,0.00146896
14,29.1144,2.12488,3.35178,1.80209,0.74525,0.33333,0.18502,0.05505,2.29336,3.36222,2.23992,0.00145246,0.00145246,0.00145246
15,31.0211,1.99008,3.17526,1.84868,0.02943,0.0625,0.07175,0.02105,2.28035,3.29623,2.13037,0.00143595,0.00143595,0.00143595
16,32.9286,1.87957,2.84109,1.72584,0.15655,0.16667,0.32328,0.15709,2.18383,2.95617,2.03287,0.00141945,0.00141945,0.00141945
17,34.7955,2.1146,3.10422,1.9263,0.69846,0.33333,0.39111,0.25222,2.13651,3.90916,2.06741,0.00140295,0.00140295,0.00140295
18,36.7023,1.86337,2.90658,1.82798,0.7288,0.33333,0.36424,0.19953,2.29027,4.37798,2.22115,0.00138644,0.00138644,0.00138644
19,38.6487,1.9957,2.90108,1.7466,0.23063,0.39451,0.24416,0.09603,2.18957,2.95228,1.90464,0.00136994,0.00136994,0.00136994
20,40.5643,1.98385,2.51646,1.69353,0.59412,0.417,0.46785,0.23327,2.03937,2.91975,1.71884,0.00135344,0.00135344,0.00135344
21,42.638,2.03666,2.61623,1.69462,0.67723,0.45673,0.49889,0.29939,1.92693,3.19489,1.70669,0.00133693,0.00133693,0.00133693
22,44.5214,1.94631,2.48322,1.65573,0.87579,0.39583,0.52093,0.2578,1.90424,3.95102,1.73075,0.00132043,0.00132043,0.00132043
23,46.3708,1.79079,2.61164,1.60597,0.54992,0.45175,0.45188,0.23595,1.91713,4.27791,1.81777,0.00130393,0.00130393,0.00130393
24,48.28,1.99403,2.59682,1.71996,0.37296,0.45833,0.3298,0.20943,1.95082,3.71648,1.91228,0.00128742,0.00128742,0.00128742
25,50.1619,1.91908,2.68627,1.63579,0.29098,0.45833,0.25802,0.11752,2.21706,5.09022,2.08376,0.00127092,0.00127092,0.00127092
26,52.0933,1.87245,2.66442,1.63815,0.34644,0.45833,0.30645,0.19315,2.19249,6.59783,1.95672,0.00125442,0.00125442,0.00125442
27,53.9632,1.80296,2.25951,1.62778,0.33327,0.33333,0.35654,0.20692,2.23892,6.79652,1.86035,0.00123791,0.00123791,0.00123791
28,55.8813,1.86454,2.26722,1.6906,0.34033,0.33333,0.36028,0.19726,2.19242,4.82766,1.81732,0.00122141,0.00122141,0.00122141
29,57.793,1.65521,2.33749,1.55077,0.91182,0.39583,0.48408,0.27423,2.08818,3.08426,1.76043,0.00120491,0.00120491,0.00120491
30,59.7219,1.78696,2.1345,1.50051,0.96458,0.40323,0.53917,0.29046,1.98454,2.27845,1.74321,0.0011884,0.0011884,0.0011884
31,61.6501,1.78083,2.19156,1.56008,0.76224,0.50819,0.59058,0.35043,2.03745,2.16359,1.73309,0.0011719,0.0011719,0.0011719
32,63.5745,1.77278,2.22009,1.56246,0.58546,0.51416,0.59484,0.32444,2.15791,2.28553,1.77377,0.0011554,0.0011554,0.0011554
33,65.5236,1.68003,2.37437,1.523,0.62021,0.57334,0.61293,0.29455,2.0922,2.10816,1.73291,0.00113889,0.00113889,0.00113889
34,67.4492,1.88278,2.31186,1.65822,0.58483,0.63585,0.6458,0.30811,2.002,1.95452,1.69499,0.00112239,0.00112239,0.00112239
35,69.3346,1.70079,1.98523,1.45378,0.53083,0.62283,0.64149,0.31494,2.11497,1.83387,1.7454,0.00110589,0.00110589,0.00110589
36,71.355,1.69186,2.07921,1.54381,0.57482,0.70782,0.72456,0.35385,2.18154,1.74609,1.80686,0.00108938,0.00108938,0.00108938
37,73.2819,1.80468,2.15859,1.57404,0.80539,0.58302,0.67996,0.31667,2.17807,2.00917,1.78283,0.00107288,0.00107288,0.00107288
38,75.1419,1.69098,2.31074,1.57363,0.68875,0.52083,0.61496,0.26891,2.1952,2.06628,1.80669,0.00105638,0.00105638,0.00105638
39,77.0552,1.5378,1.98296,1.43417,0.63525,0.58333,0.58473,0.28885,2.19432,2.16585,1.7825,0.00103987,0.00103987,0.00103987
