epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20769,1.21268,3.21254,1.35712,0.00067,0.66667,0.00075,0.00017,1.39754,6.14121,1.32548,6e-05,6e-05,6e-05
2,4.82437,1.18946,3.617,1.2891,0.00067,0.66667,0.01909,0.00251,1.12268,5.41883,1.15928,0.00013538,0.00013538,0.00013538
3,6.44032,1.02645,3.35564,1.22234,0.00067,0.66667,0.05553,0.03024,1.14743,4.66303,1.16064,0.00020548,0.00020548,0.00020548
4,8.05792,1.07821,2.68748,1.25442,0.42885,0.66667,0.33261,0.27448,1.28615,4.01141,1.30822,0.0002703,0.0002703,0.0002703
5,9.69922,1.28016,3.03058,1.26697,0.46852,0.66667,0.33261,0.27448,1.31627,3.77338,1.33184,0.00032984,0.00032984,0.00032984
6,11.3042,1.15932,2.45914,1.14813,0.9211,0.66667,0.66511,0.4991,1.27624,3.30947,1.28576,0.0003841,0.0003841,0.0003841
7,12.8209,1.10025,2.20028,1.15451,0.96602,0.66667,0.66511,0.43259,1.3107,3.22246,1.26807,0.00043308,0.00043308,0.00043308
8,14.3936,1.2881,2.77462,1.19442,0.95802,0.66667,0.66511,0.43258,1.55339,3.3709,1.44298,0.00047678,0.00047678,0.00047678
9,15.9999,1.09136,2.33572,1.08117,0.94977,0.66667,0.72,0.42681,1.45916,3.29588,1.40599,0.0005152,0.0005152,0.0005152
10,17.6117,1.13623,2.34148,1.16693,0.97462,0.66667,0.72,0.49337,1.45204,2.90349,1.38062,0.00054834,0.00054834,0.00054834
11,19.3104,1.17582,2.28554,1.17145,0.96872,0.66667,0.755,0.55007,1.47897,2.9044,1.39261,0.0005762,0.0005762,0.0005762
12,20.9635,1.10792,1.88466,1.13826,0.96373,0.66667,0.755,0.50828,1.48253,3.06065,1.42942,0.00059878,0.00059878,0.00059878
13,22.4717,1.06941,2.22753,1.11595,0.97891,0.66667,0.863,0.51894,1.4846,2.78221,1.44277,0.00061608,0.00061608,0.00061608
14,23.9561,1.05674,2.11244,1.12287,0.97576,0.66667,0.66675,0.53225,1.52896,2.63165,1.48247,0.0006281,0.0006281,0.0006281
15,25.4844,1.05569,2.05099,1.10165,0.96712,0.66667,0.6654,0.4992,1.31983,2.33643,1.28796,0.00063484,0.00063484,0.00063484
16,26.9472,1.05008,1.77752,1.09765,0.96896,0.66667,0.66536,0.5328,1.102,2.48829,1.23338,0.0006363,0.0006363,0.0006363
17,28.3724,1.17806,2.25912,1.24447,0.97364,0.66667,0.66534,0.53267,1.26374,2.55116,1.25894,0.00063248,0.00063248,0.00063248
18,29.8544,1.06102,2.30414,1.16776,0.98026,0.66667,0.66511,0.53209,1.19027,2.51731,1.22596,0.00062338,0.00062338,0.00062338
19,31.3751,1.02083,1.92879,1.04638,0.98066,0.66667,0.66536,0.53214,1.27074,2.3808,1.31284,0.000609,0.000609,0.000609
20,32.7912,1.05473,1.72619,1.09568,0.98078,0.66667,0.66537,0.53214,1.23762,2.34851,1.32142,0.00058934,0.00058934,0.00058934
21,34.3761,0.94858,2.39499,0.99633,0.98097,0.66667,0.66511,0.48234,1.24915,2.62447,1.281,0.0005644,0.0005644,0.0005644
22,35.7725,0.79239,2.33451,0.98884,0.98052,0.66667,0.66511,0.48234,1.2175,2.61783,1.26196,0.00053418,0.00053418,0.00053418
23,37.1259,0.83574,2.6569,1.04238,0.98063,0.66667,0.66511,0.46558,1.20125,2.68528,1.2157,0.00049868,0.00049868,0.00049868
24,38.4645,0.80447,2.4622,1.03976,0.98099,0.66667,0.66511,0.47448,1.13723,2.93502,1.14443,0.0004579,0.0004579,0.0004579
25,39.8573,0.81607,2.26865,0.95056,0.97885,0.66667,0.66511,0.54885,1.10257,2.63059,1.11622,0.00041184,0.00041184,0.00041184
26,41.2217,0.94727,2.36556,1.01634,0.89222,0.66667,0.66511,0.5656,1.09928,2.3537,1.12068,0.00035,0.00035,0.00035
27,42.5794,0.99964,2.51626,1.07122,0.97943,0.66667,0.66511,0.5656,1.1283,2.29205,1.15452,0.000284,0.000284,0.000284
28,43.9101,0.94344,2.19475,1.09536,0.97879,0.66667,0.66511,0.53209,1.21655,2.22202,1.20164,0.000218,0.000218,0.000218
29,45.2552,0.9005,2.35776,1.02407,0.97817,0.66667,0.66511,0.53209,1.29729,2.30398,1.25689,0.000152,0.000152,0.000152
30,46.6107,0.77833,2.03721,1.00008,0.97768,0.66667,0.66511,0.53209,1.35679,2.34814,1.30886,8.6e-05,8.6e-05,8.6e-05
